Date, Close/Last, Volume, Open, High, Low
12/31/2014, $110.38,41304780, $112.82, $113.13, $110.21
12/30/2014, $112.52,29798660, $113.64, $113.92, $112.11
12/29/2014, $113.91,27533430, $113.79, $114.77, $113.7
12/26/2014, $113.99,33681200, $112.1, $114.52, $112.01
12/24/2014, $112.01,14479610, $112.58, $112.71, $112.01
12/23/2014, $112.54,25991030, $113.23, $113.33, $112.46
12/22/2014, $112.94,45097060, $112.16, $113.49, $111.97
12/19/2014, $111.78,86595830, $112.26, $113.24, $111.66
12/18/2014, $112.65,58785590, $111.87, $112.65, $110.66
12/17/2014, $109.41,53265930, $107.12, $109.84, $106.82
12/16/2014, $106.745,60651790, $106.37, $110.16, $106.26
12/15/2014, $108.225,67083260, $110.7, $111.6, $106.35
12/12/2014, $109.73,55873820, $110.46, $111.87, $109.58
12/11/2014, $111.62,41404690, $112.26, $113.8, $111.34
12/10/2014, $111.95,44475360, $114.41, $114.85, $111.54
12/09/2014, $114.12,60112240, $110.19, $114.3, $109.35
12/08/2014, $112.4,57445030, $114.1, $114.648, $111.62
12/05/2014, $115,38230970, $115.99, $116.08, $114.64
12/04/2014, $115.49,42068020, $115.77, $117.2, $115.29
12/03/2014, $115.93,42956200, $115.75, $116.35, $115.11
12/02/2014, $114.63,59205320, $113.5, $115.75, $112.75
12/01/2014, $115.07,83657780, $118.81, $119.25, $111.27
11/28/2014, $118.93,24814400, $119.27, $119.4, $118.05
11/26/2014, $119,40756950, $117.94, $119.1, $117.83
11/25/2014, $117.6,68719930, $119.07, $119.75, $117.45
11/24/2014, $118.625,46867340, $116.85, $118.77, $116.62
11/21/2014, $116.47,56759320, $117.51, $117.57, $116.03
11/20/2014, $116.31,43148650, $114.91, $116.86, $114.85
11/19/2014, $114.67,41815550, $115.44, $115.74, $113.8
11/18/2014, $115.47,44163250, $113.94, $115.69, $113.89
11/17/2014, $113.99,46687710, $114.27, $117.28, $113.3
11/14/2014, $114.18,43789060, $113.15, $114.19, $113.05
11/13/2014, $112.82,59418180, $111.8, $113.45, $111.6
11/12/2014, $111.25,46372630, $109.38, $111.43, $109.37
11/11/2014, $109.7,27330410, $108.7, $109.75, $108.4
11/10/2014, $108.83,27066060, $109.02, $109.33, $108.67
11/07/2014, $109.01,33655280, $108.75, $109.32, $108.55
11/06/2014, $108.7,34733740, $108.6, $108.79, $107.8
11/05/2014, $108.86,37365530, $109.1, $109.3, $108.125
11/04/2014, $108.6,41423660, $109.36, $109.49, $107.72
11/03/2014, $109.4,52154490, $108.22, $110.3, $108.01
10/31/2014, $108,44550790, $108.01, $108.04, $107.21
10/30/2014, $106.98,40572000, $106.959, $107.35, $105.9
10/29/2014, $107.34,52545580, $106.65, $107.37, $106.36
10/28/2014, $106.74,47689070, $105.4, $106.74, $105.35
10/27/2014, $105.11,34086120, $104.85, $105.48, $104.7
10/24/2014, $105.22,46937880, $105.18, $105.49, $104.53
10/23/2014, $104.83,70760150, $104.08, $105.051, $103.63
10/22/2014, $102.99,68140010, $102.84, $104.11, $102.6
10/21/2014, $102.47,93786680, $103.02, $103.02, $101.27
10/20/2014, $99.76,75705040, $98.315, $99.96, $98.22
10/17/2014, $97.67,67723910, $97.5, $99, $96.81
10/16/2014, $96.26,72017830, $95.55, $97.72, $95.41
10/15/2014, $97.54,99942790, $97.97, $99.15, $95.18
10/14/2014, $98.75,63287170, $100.39, $100.52, $98.57
10/13/2014, $99.81,53437060, $101.33, $101.78, $99.81
10/10/2014, $100.73,66249770, $100.69, $102.03, $100.3
10/09/2014, $101.02,77283330, $101.54, $102.38, $100.61
10/08/2014, $100.8,57329820, $98.76, $101.11, $98.31
10/07/2014, $98.75,42003200, $99.43, $100.12, $98.73
10/06/2014, $99.62,36780620, $99.95, $100.65, $99.42
10/03/2014, $99.62,43419580, $99.44, $100.21, $99.04
10/02/2014, $99.9,47697150, $99.27, $100.22, $98.04
10/01/2014, $99.18,51400260, $100.59, $100.69, $98.7
09/30/2014, $100.75,55119980, $100.81, $101.54, $100.53
09/29/2014, $100.11,49263260, $98.65, $100.435, $98.63
09/26/2014, $100.75,62276770, $98.53, $100.75, $98.4
09/25/2014, $97.87,99689300, $100.51, $100.71, $97.72
09/24/2014, $101.75,59974260, $102.16, $102.85, $101.2
09/23/2014, $102.64,63255860, $100.6, $102.94, $100.54
09/22/2014, $101.06,52421660, $101.8, $102.14, $100.58
09/19/2014, $100.96,70747430, $102.29, $102.35, $100.88
09/18/2014, $101.79,36971170, $101.93, $102.35, $101.56
09/17/2014, $101.58,60783090, $101.27, $101.8, $100.5922
09/16/2014, $100.86,66754370, $99.8, $101.26, $98.89
09/15/2014, $101.63,61169670, $102.81, $103.05, $101.44
09/12/2014, $101.66,62826040, $101.21, $102.19, $101.08
09/11/2014, $101.43,62077230, $100.41, $101.44, $99.62
09/10/2014, $101,100352500, $98.01, $101.11, $97.76
09/09/2014, $97.99,189419500, $99.08, $103.08, $96.14
09/08/2014, $98.36,46176570, $99.3, $99.31, $98.05
09/05/2014, $98.97,58280030, $98.8, $99.39, $98.31
09/04/2014, $98.12,85537710, $98.85, $100.09, $97.79
09/03/2014, $98.94,125000400, $103.1, $103.2, $98.58
09/02/2014, $103.3,53227770, $103.06, $103.74, $102.72
08/29/2014, $102.5,44516120, $102.86, $102.9, $102.2
08/28/2014, $102.25,68368740, $101.59, $102.78, $101.56
08/27/2014, $102.13,46807000, $101.02, $102.57, $100.7
08/26/2014, $100.889,33079170, $101.42, $101.5, $100.86
08/25/2014, $101.54,40087220, $101.79, $102.17, $101.28
08/22/2014, $101.32,44028280, $100.29, $101.47, $100.19
08/21/2014, $100.58,33377530, $100.57, $100.94, $100.11
08/20/2014, $100.57,52565000, $100.44, $101.09, $99.95
08/19/2014, $100.53,69189840, $99.41, $100.68, $99.32
08/18/2014, $99.16,47285630, $98.49, $99.37, $97.98
08/15/2014, $97.98,48938120, $97.9, $98.19, $96.86
08/14/2014, $97.5,28056530, $97.33, $97.57, $96.8
08/13/2014, $97.24,31866630, $96.15, $97.24, $96.04
08/12/2014, $95.97,33485870, $96.04, $96.88, $95.61
08/11/2014, $95.99,36459430, $95.27, $96.08, $94.8355
08/08/2014, $94.74,41783300, $94.26, $94.82, $93.28
08/07/2014, $94.48,46553350, $94.93, $95.95, $94.1
08/06/2014, $94.96,38463700, $94.75, $95.48, $94.71
08/05/2014, $95.12,55861030, $95.36, $95.68, $94.36
08/04/2014, $95.59,39860740, $96.37, $96.58, $95.17
08/01/2014, $96.13,48379730, $94.9, $96.62, $94.81
07/31/2014, $95.6,56625420, $97.16, $97.45, $95.33
07/30/2014, $98.15,32978480, $98.44, $98.7, $97.67
07/29/2014, $98.38,42957960, $99.33, $99.44, $98.25
07/28/2014, $99.02,54926940, $97.82, $99.24, $97.55
07/25/2014, $97.671,43384590, $96.85, $97.84, $96.64
07/24/2014, $97.03,45609040, $97.035, $97.32, $96.42
07/23/2014, $97.19,90937230, $95.42, $97.88, $95.17
07/22/2014, $94.72,54297530, $94.68, $94.89, $94.12
07/21/2014, $93.939,38792960, $94.99, $95, $93.72
07/18/2014, $94.43,49838110, $93.62, $94.74, $93.02
07/17/2014, $93.0899,57111160, $95.03, $95.279, $92.57
07/16/2014, $94.78,53323940, $96.97, $97.1, $94.74
07/15/2014, $95.32,45187420, $96.8, $96.85, $95.03
07/14/2014, $96.45,42643760, $95.86, $96.89, $95.65
07/11/2014, $95.22,33960300, $95.36, $95.89, $94.8625
07/10/2014, $95.035,39633800, $93.76, $95.55, $93.52
07/09/2014, $95.39,36267350, $95.44, $95.95, $94.76
07/08/2014, $95.35,65111960, $96.27, $96.8, $93.92
07/07/2014, $95.968,54809030, $94.14, $95.99, $94.1
07/03/2014, $94.03,22891750, $93.67, $94.1, $93.2
07/02/2014, $93.48,28414310, $93.865, $94.06, $93.09
07/01/2014, $93.52,38156280, $93.52, $94.07, $93.13
06/30/2014, $92.93,49474230, $92.1, $93.725, $92.09
06/27/2014, $91.98,61758200, $90.82, $92, $90.77
06/26/2014, $90.9,32528680, $90.37, $91.05, $89.8
06/25/2014, $90.36,36835900, $90.21, $90.7, $89.65
06/24/2014, $90.28,38977670, $90.75, $91.74, $90.19
06/23/2014, $90.83,43611710, $91.32, $91.62, $90.6
06/20/2014, $90.91,100478600, $91.85, $92.55, $90.9
06/19/2014, $91.86,35476080, $92.29, $92.3, $91.3389
06/18/2014, $92.18,33314720, $92.27, $92.29, $91.35
06/17/2014, $92.08,29684620, $92.31, $92.7, $91.8
