Date,compound,neg,neu,pos,Close
12/31/2014,-0.8934,0.172,0.746,0.082,119.49
12/30/2014,-0.6996,0.133,0.806,0.06,121.87
12/29/2014,-0.9442,0.319,0.638,0.044,124.93
12/26/2014,-0.7906,0.179,0.726,0.094,124.98
12/24/2014,-0.5859,0.14,0.766,0.094,124.99
12/23/2014,-0.9723,0.272,0.667,0.062,123.56
12/22/2014,-0.9578,0.225,0.674,0.101,123.01
12/19/2014,-0.3818,0.125,0.757,0.118,127.87
12/18/2014,-0.7184,0.121,0.783,0.096,127.6
12/17/2014,-0.872,0.154,0.771,0.074,126.7
12/16/2014,-0.5994,0.143,0.752,0.104,126.79
12/15/2014,-0.7506,0.167,0.776,0.057,125.58
12/12/2014,-0.765,0.142,0.784,0.074,124.49
12/11/2014,-0.875,0.162,0.787,0.051,123.03
12/10/2014,-0.8689,0.124,0.835,0.041,123.8
12/09/2014,-0.8316,0.134,0.786,0.08,123.58
12/08/2014,-0.6486,0.11,0.812,0.077,123.5
12/05/2014,-0.9201,0.203,0.755,0.042,122.16
12/04/2014,-0.9172,0.193,0.774,0.032,123.62
12/03/2014,-0.936,0.209,0.735,0.056,123.82
12/02/2014,-0.9153,0.164,0.739,0.097,123.04
12/01/2014,-0.9628,0.167,0.769,0.064,122.33
11/28/2014,-0.9744,0.238,0.715,0.046,124.71
11/26/2014,-0.9568,0.191,0.768,0.041,124.03
11/25/2014,-0.959,0.181,0.792,0.028,124.37
11/24/2014,-0.9128,0.198,0.734,0.067,124.86
11/21/2014,-0.9081,0.135,0.81,0.055,124.93
11/20/2014,-0.9823,0.279,0.658,0.062,123.48
11/19/2014,-0.9531,0.181,0.777,0.041,123.13
11/18/2014,-0.93,0.227,0.679,0.095,122.15
11/17/2014,-0.8074,0.16,0.712,0.128,122.15
11/14/2014,-0.9658,0.148,0.814,0.038,123.28
11/13/2014,-0.9802,0.197,0.803,0,124.96
11/12/2014,-0.296,0.085,0.855,0.06,123.16
11/11/2014,-0.9413,0.133,0.824,0.043,121.73
11/10/2014,-0.4019,0.108,0.792,0.1,119.25
11/07/2014,-0.9118,0.148,0.784,0.068,117.77
11/06/2014,-0.9836,0.23,0.701,0.07,118.79
11/05/2014,-0.9489,0.172,0.756,0.072,116.74
11/04/2014,-0.9601,0.129,0.846,0.025,119.2
11/03/2014,-0.9287,0.178,0.699,0.123,122.15
10/31/2014,-0.8169,0.129,0.778,0.093,122.18
10/30/2014,-0.9732,0.189,0.74,0.071,123
10/29/2014,-0.959,0.213,0.691,0.095,129.14
10/28/2014,-0.9747,0.2,0.744,0.056,127.15
10/27/2014,-0.9911,0.279,0.656,0.065,126.59
10/24/2014,-0.9774,0.225,0.734,0.041,127.76
10/23/2014,-0.9661,0.172,0.777,0.05,126.7
10/22/2014,-0.6597,0.17,0.716,0.115,127.84
10/21/2014,-0.8729,0.174,0.708,0.118,127.99
10/20/2014,-0.9871,0.283,0.699,0.018,107.08
10/17/2014,-0.9882,0.222,0.778,0,106.63
10/16/2014,-0.8979,0.162,0.743,0.094,111.25
10/15/2014,-0.9825,0.264,0.666,0.07,108.33
10/14/2014,-0.994,0.255,0.716,0.029,106.98
10/13/2014,-0.9677,0.248,0.676,0.076,106.02
10/10/2014,-0.9598,0.199,0.743,0.058,106.18
10/09/2014,-0.9885,0.241,0.709,0.05,105.59
10/08/2014,-0.6555,0.114,0.797,0.09,105.3
10/07/2014,-0.9313,0.185,0.716,0.099,107.32
10/06/2014,0.9555,0,0.76,0.24,109.13
10/03/2014,-0.9936,0.243,0.704,0.053,111.67
10/02/2014,-0.9702,0.2,0.698,0.102,117.25
10/01/2014,-0.8688,0.123,0.839,0.037,119.13
09/30/2014,0.8074,0.096,0.729,0.175,121.46
09/29/2014,-0.8997,0.161,0.741,0.099,121.97
09/26/2014,-0.9915,0.336,0.664,0,121.23
09/25/2014,-0.9756,0.179,0.792,0.029,122.73
09/24/2014,-0.9477,0.156,0.802,0.042,120.94
09/23/2014,-0.8296,0.131,0.782,0.087,121.06
09/22/2014,-0.9584,0.209,0.73,0.061,122.02
09/19/2014,-0.9786,0.21,0.733,0.056,121
09/18/2014,-0.3612,0.085,0.834,0.081,125.16
09/17/2014,-0.9274,0.151,0.768,0.081,124.86
09/16/2014,-0.5423,0.103,0.806,0.091,122.79
09/15/2014,-0.8591,0.16,0.727,0.113,124.93
09/12/2014,0.7783,0.078,0.777,0.145,124.19
09/11/2014,0.1511,0.113,0.752,0.134,124.75
09/10/2014,-0.9657,0.203,0.725,0.071,124.76
09/09/2014,-0.8591,0.155,0.772,0.073,124.07
09/08/2014,-0.7096,0.093,0.855,0.052,123.09
09/05/2014,-0.9349,0.203,0.681,0.116,122.07
09/04/2014,-0.9426,0.247,0.633,0.119,122.06
09/03/2014,-0.9805,0.219,0.711,0.07,120.88
09/02/2014,-0.8126,0.131,0.788,0.081,120.49
08/29/2014,-0.9931,0.282,0.661,0.056,118.74
08/28/2014,-0.9509,0.196,0.777,0.027,120.06
08/27/2014,-0.9837,0.324,0.661,0.015,121.04
08/26/2014,-0.4767,0.147,0.732,0.121,123.2
08/25/2014,-0.9477,0.181,0.775,0.045,122.09
08/22/2014,-0.7059,0.112,0.815,0.073,122.39
08/21/2014,-0.969,0.176,0.774,0.05,122.18
08/20/2014,-0.9814,0.217,0.747,0.036,121.12
08/19/2014,-0.9485,0.192,0.737,0.071,118.14
08/18/2014,-0.6597,0.146,0.748,0.106,118.51
08/15/2014,-0.9517,0.258,0.633,0.109,117.48
08/14/2014,-0.9869,0.148,0.802,0.05,117.35
08/13/2014,-0.8225,0.149,0.727,0.124,118.87
08/12/2014,-0.8432,0.147,0.739,0.114,119.98
08/11/2014,-0.8779,0.12,0.811,0.069,120.3
08/08/2014,-0.9201,0.118,0.808,0.074,120.61
08/07/2014,-0.765,0.116,0.823,0.062,120.68
08/06/2014,-0.9791,0.181,0.761,0.059,120.7
08/05/2014,-0.8184,0.094,0.87,0.036,119.48
08/04/2014,-0.9638,0.148,0.779,0.073,117.32
08/01/2014,-0.9928,0.32,0.61,0.07,118.09
07/31/2014,-0.9888,0.2,0.734,0.066,117.6
07/30/2014,-0.9936,0.32,0.68,0,116.95
07/29/2014,-0.9814,0.167,0.802,0.031,119.54
07/28/2014,-0.9922,0.203,0.771,0.027,120.23
07/25/2014,-0.9686,0.187,0.795,0.018,121.74
07/24/2014,-0.9744,0.192,0.748,0.06,120.75
07/23/2014,-0.9643,0.183,0.738,0.08,120.1
07/22/2014,-0.9855,0.208,0.762,0.03,120.9
07/21/2014,-0.9122,0.136,0.815,0.05,119.61
07/18/2014,-0.9906,0.316,0.663,0.021,118.85
07/17/2014,-0.9857,0.223,0.726,0.051,118.12
07/16/2014,-0.9583,0.162,0.796,0.042,117.58
07/15/2014,-0.9872,0.268,0.69,0.042,116.68
07/14/2014,-0.875,0.194,0.71,0.096,117.88
07/11/2014,-0.9764,0.211,0.699,0.09,117.2
07/10/2014,0.9517,0.082,0.723,0.195,117.67
07/09/2014,-0.1045,0.107,0.79,0.103,117.22
07/08/2014,-0.8779,0.157,0.785,0.059,116.22
07/07/2014,-0.8176,0.101,0.872,0.027,114.25
07/03/2014,-0.9842,0.272,0.659,0.07,116.06
07/02/2014,-0.8929,0.17,0.733,0.097,116.06
07/01/2014,-0.1779,0.095,0.808,0.097,116.03
06/30/2014,0.0258,0.1,0.799,0.101,118.64
06/27/2014,-0.9719,0.187,0.74,0.073,118.98
06/26/2014,-0.8341,0.118,0.788,0.094,118.53
06/25/2014,-0.9876,0.225,0.765,0.009,117.15
06/24/2014,-0.9826,0.232,0.691,0.078,117.36
06/23/2014,-0.9849,0.186,0.766,0.049,116.97
06/20/2014,-0.9874,0.256,0.693,0.051,116.36
06/19/2014,-0.967,0.212,0.716,0.073,116.7
06/18/2014,0.5792,0.112,0.733,0.155,116.92
06/17/2014,-0.2342,0.134,0.747,0.119,117.33
06/16/2014,-0.4939,0.074,0.87,0.056,118.97
06/13/2014,-0.9796,0.193,0.773,0.034,119.34
06/12/2014,0.1531,0.117,0.748,0.136,120.01
06/11/2014,-0.9335,0.178,0.769,0.053,120.08
06/10/2014,-0.8934,0.161,0.74,0.1,121.98
06/09/2014,-0.9744,0.171,0.785,0.043,120.51
06/06/2014,-0.9062,0.161,0.75,0.09,121.5
06/05/2014,-0.7579,0.096,0.873,0.031,120.32
06/04/2014,-0.5994,0.124,0.768,0.107,119.68
06/03/2014,-0.8779,0.166,0.738,0.096,120
06/02/2014,-0.9468,0.147,0.81,0.044,121.09
