Date,Analysis: Spectre of capital flight slows China FX reform drive, SHANGHAI  Reuters  Longtime China watchers probably felt a sense of deja vu when HSBCs chief China economist Qu Hongbin predicted last month that the yuan would be convertible within five years   China has been thwarting such predictions since 1993 when it first formally adopted capital account convertibility as a longterm goal Consummate China insider Fred Hu who stepped down as Goldman Sachs Greater China chairman in 2010 to launch a private equity fund made a similar prediction in 2002 just before Chinas last political leadership transition Market watchers remain bullish on capital account loosening  pointing to positive signals from the central bank  but the importance the political leadership places on the countrys foreign exchange reserves as a guarantor of economic stability remains a major obstacle Indeed signs that outflows are accelerating have already provoked concern from policymakers We shouldnt interpret capital account convertibility as a free currency with crossborder asset transfers without control Peoples Bank of Chinas PBOC Governor Zhou Xiaochuan told a forum in Hainan province on Monday We will reserve the right to monitor and restrict capital flows in some sensitive areas Zhou said SECURITY BLANKET Analysts say the central bank is the center of proreform sentiment in the government But other policymakers still equate foreign reserves with national strength and may oppose any reform that would put the 33 trillion stockpile at risk To them the FX reserves underpin confidence in the financial system serving as a security blanket for both the government and financial markets Few believe Chinas banks are as healthy as they claim while many local governments and stateowned enterprises are awash in debt But as long as investors and depositors believe Beijing could tap its foreign exchange reserves to fund a bailout a run on banks or a credit crunch for local governments and stateowned enterprises is unlikely Chinese households hold a huge amount of deposits said Yu Yongding a former member of the central banks monetary policy committee China has 84 trillion yuan 1345 trillion in corporate and household bank deposits If households want to diversify their holdings into foreign assets say just 10 percent of their assets capital outflow will become huge which will lead to a fall of the yuan and then there will be panic and more outflows  a herd effect said Yu who is now director of the Institute of World Economics and Politics at the Chinese Academy of Social Sciences CASS MONEY LEAVING There are signs that some money is already leaving China Chinas trade and foreign direct investment FDI surpluses totaled 181 billion in the six months ending October official data shows But Chinese banks including the central banks purchased only about 32 billion in this period while firms kept another 53 billion onshore without converting it to local currency With capital controls in place the surpluses should have been roughly equal to the FX purchases and unconverted FX receipts Instead this analysis commonly used by analysts as a rough estimate of hot money flows indicates approximately 95 billion that was meant to be in China moved overseas in the sixmonth period The outflows are striking given the yuan appreciated sharply from late July and the US Federal Reserve launched a new round of quantitative easing in September Both factors would normally draw hot money into China Middleincome Chinese individuals are opening offshore bank accounts  among 40 to 50 year olds there is a real undercurrent of fear Jonathan Clifton managing director of Offshore Incorporations Group a consultancy that helps clients facilitate offshore investment told a conference in London last month organized by the newsletter OffshoreAlert SHRINKING SURPLUSES Even as Chinas economy boomed last decade there were a gross 38 trillion of illicit outflows from 2000 to 2011 according to a study released in October by Global Financial Integrity a Washington DCbased research and advocacy group Yet such outflows went largely unnoticed because they were overwhelmed by the massive trade and foreign direct investment surpluses Those twin surpluses were the main factors that swelled Chinas FX reserves by an average 25 billion per month in the decade from 2002 to 2011 But now those surpluses are shrinking in what some analysts expect to be a longterm trend In the context of narrowing surpluses on the current account and capital and financial accounts we must shift from guarding against the risk of capital inflow to guarding against capital outflow two officials from the PBOC wrote this week in China Finance a magazine backed by the central bank Over the first nine months of 2012 reserves rose an average of 115 billion  much of which would due to be interest on reserves already held rather than new inflows By the middle of next year China will tighten the capital account considerably said Andy Xie the former Morgan Stanley chief AsiaPacific economist and wellknown China analyst He added that lower trade surpluses in 2013 would spark concern among political leaders about capital outflows ROACH MOTEL Still optimism of an opening up persists There are clear signs that Chinas new leaders who will take power in early 2013 will make speeding up reform top of their policy agenda in the coming years HSBCs Qu wrote There have been a steady drumbeat of statements this year from the central bank including a widely noted report in February titled Conditions are basically mature for China to speed up capital account opening Even former central bank governor Dai Xianglong who spent much of the 1990s refusing to offer a timeline for capital account convertibility said this year that significant progress could now be made within five years In March regulators increased the foreign debt quota for foreign banks allowing them to bring in more capital In April authorities expanded the Qualified Foreign Institutional Investor QFII granting foreigners greater access to Chinas capital markets But far from a shift towards allowing households more freedom to invest overseas these policies appear to be a continuation of Chinas longstanding approach to foreign capital flows which some compare to the popular roach motel insect traps money can check in but it cant check out Additional reporting by  Sara Ledwith  in LONDON Editing by  John Mair 
12/31/2014,Timeline: How the Libor scandal unfolded, Reuters  Libor the London interbank offered rate is a global benchmark for interest rates on everything from credit cards to trillions of dollars in financial derivatives and is at the heart of a scandal over rate rigging   Libor rates are based on daily estimates from a group of banks as to how much they would expect to pay to borrow funds from each other for a range of currencies and periods This is how the scandal unfolded 1986  The British Bankers Association BBA publishes the first official Libor rates in dollars sterling and yen meeting demand for global benchmarks from financial markets 2007  Barclays alerts US regulators about its concerns that other banks are submitting dishonestly low interbank rates September 2008  Libor rates spike after the collapse of Lehman Brothers at the height of the global financial crisis Rate setting at the time is central to investigations of rigging 2010  Britains Financial Services Authority FSA launches an investigation into Barclays as part of a global probe into the industry over allegations of interest rate manipulation August 2011  Discount brokerage and money manager Charles Schwab Corp files lawsuits accusing 11 major banks of conspiring to manipulate Libor June 2012  Barclays is fined 455 million in a settlement with US and British regulators over rigging rates Britain announces a review of the way Libor is calculated July 2012  Barclays chief executive Bob Diamond and chairman Marcus Agius quit over the scandal Agius keeps a caretaker role Class action is brought by investors against Barclays and other banks August 2012  A joint New YorkConnecticut investigation of Libor send subpoenas to Royal Bank of Scotland HSBC Holdings JPMorgan Deutsche Bank Barclays UBS and Citigroup The subpoenas seek communication between executives related to possible collusion that may have played a role in alleged rate manipulation September 2012  The BBA says it will support any recommendation by Martin Wheatley the FSAs managing director for a change of responsibility in setting the rate The FSA delivers a 10point plan to overhaul Libor on September 28 but stops short of scrapping the benchmark interest rate November 2012  Deutsche Bank faces skeptical German lawmakers who are seeking answers about how banks manipulated global benchmark interest rates On the same day Barclays says it fired five employees following its investigations into Libor rigging December 2012  The first three arrests are made in the scandal Days later UBS is fined 15 billion to settle charges of rigging the Libor rate Sources ReutersBBA Thomson Reuters parent company of Reuters has been calculating and distributing the rates for the BBA since 2005 when it acquired previous calculating agent Telerate Reporting by  David Cutler  and  Kirstin Ridley  Editing by Erica Billingham
12/30/2014,Bill authorizing 2013 U.S. defense spending edges toward completion, WASHINGTON  Reuters  US lawmakers merged the competing House and Senate versions of the annual defense policy bill on Tuesday approving a measure that authorizes 6333 billion in defense spending for 2013 expands US sanctions on Iran and strikes restrictions on biofuel use   The legislation passed by a conference committee of lawmakers from both chambers is expected to go to the full Senate and House of Representatives for a final vote this week before being sent to President Barack Obama for his signature The measure authorizes a Pentagon base budget of 5275 billion plus 885 billion for overseas operations primarily the war in Afghanistan the House Armed Services Committee said in a statement The base spending includes some 174 billion for defenserelated Department of Energy nuclear programs The bill  the National Defense Authorization Act  sets defense policies and has been passed annually for 50 consecutive years Although it authorizes spending levels it does not actually commit funds That is done by the appropriations committees in both chambers in a separate piece of legislation The proposed base budget was 17 billion above Obamas request for defense spending in the 2013 fiscal year that began in October the House Armed Services Committee statement said The measure is making its way through Congress at a time when the Pentagon is having to trim 487 billion in spending over a decade and is facing another 500 billion in projected spending cuts over the same period beginning January 2 unless lawmakers agree to an alternative before then Obama and Congress are struggling to cut more than a trillion dollars in government spending by January 2 in an effort to slow the growth of the massive US debt If they fail to reach a deal the government will be hit by 12 trillion in automatic acrosstheboard cuts Defense Secretary Leon Panetta urged lawmakers on Tuesday to agree on a deal to avert the cuts and expressed concern about their efforts to use the authorization bill to divert funding to pet projects that the Pentagon has cut back He said the Pentagon had been working with the House and Senate on the authorization bill in the conference committee because legislation initially passed by the two chambers would have needlessly diverted 74 billion over the next decade into programs equipment and activities we dont want or need We must make every dollar count Panetta said in a speech to the National Press Club We must continue to carefully manage the balance between sustaining current operations being ready to respond to crisis and emerging threats preparing for future operations and investing in capabilities for the future The merged version of the bill passed by the conference committee on Tuesday includes a 17 percent pay increase for troops It also rejected an administration proposal to increase fees on the health insurance program for military retirees Analysts have pointed to personnel costs as one of the drivers of rising military expenditures and they have noted that military healthcare costs are increasing at an unsustainable rate just as they are in the civilian sector Army General Martin Dempsey who as chairman of the Joint Chiefs of Staff is the top US military officer told troops in Stuttgart Germany on Tuesday the Pentagon was exploring ways to rein in the growth of personnel costs Our manpower costs in  the whole Department of Defense budget are about 45 percent he told a town hall gathering If we breach 50 percent we will throw the system out of bounds It will mean that manpower costs are drawing a disproportionate and infeasible amount of the budget and that something will have to give  end strength and modernization most notably The authorization bill approved by the conference committee also assigns an additional 1000 Marines to embassy and consulate security in the wake of the attack on the consulate in Benghazi Libya that killed US Ambassador Christopher Stevens The bill also includes expanded sanctions against Iran over its nuclear program said Senator Carl Levin chairman of the Senate Armed Services Committee The sanctions that we adopted are very very strong sanctions he told reporters We designate the people and the port and energy and shipping areas in Iran as entities of proliferation concern Levin said the panel rejected administration requests to broaden the exceptions to the sanctions but he said the legislation would give the administration more time to implement the measures The bill would also  Eliminate a House effort to prevent the military from buying biofuels that are more expensive than traditional petroleum The military has been paying high prices for biofuels for testing purposes but has said it would not buy large quantities until prices are competitive with traditional fuel  Require the Defense Department to do environmental impact tests on potential sites for an East Coast missile defense system The legislation would not mandate deployment of an East Coast missile defense or require an operational deployment plan  Increase cyber security by requiring companies doing business with the Defense Department to report to the Pentagon whenever cyber intruders breach their sensitive information systems  Ease export restrictions on satellite technology in an effort to improve US competitiveness in the sale of the equipment overseas Representative Adam Smith the top Democrat on the House Armed Services Committee said limits on the export threatened to undermine the ability of US firms to provide cutting edge technologies needed by the US military Reporting by David Alexander Editing by  Lisa Shumaker 
12/29/2014,"Obama would veto Republican ""Plan B"" on fiscal cliff: White House", WASHINGTON  Reuters  President Barack Obama would veto the House Republican Plan B tax proposal designed to avert January 1 tax hikes the White House said on Wednesday saying the plan does not do enough to balance spending cuts and tax increases   The veto threat comes less than two weeks before a series of tax hikes and automatic budget cuts that could push the US economy toward a socalled fiscal cliff and trigger another recession Republicans in the US House of Representatives could vote on Thursday on a Plan B tax bill that House Speaker John Boehner said would extend low tax rates except on income of 1 million and above The White House has said Obama would accept a deal that puts the threshold for income tax hikes at 400000 a higher threshold than his initial offer The President urges the Republican leadership to work with us to resolve remaining differences and find a reasonable solution to this situation today White House Communications Director Dan Pfeiffer said in a statement Reporting By  Matt Spetalnick   Mark Felsenthal  and  Roberta Rampton  Editing by Alistair Bell and  David Brunnstrom 
12/26/2014,Timeline: Troubles mount at Swiss bank UBS, Reuters  UBSs 15 billion fine for rigging global benchmark interest rates is the latest blow for the Swiss bank which has already suffered hefty losses from past mistakes   Here are some of the most significant problems to hit the bank since it took its current form in 1997 1997  A trading loss in equity derivatives of more than 600 million Swiss francs 682 million at the Union Bank of Switzerland forces it to accept a reverse takeover by rival Swiss Bank Corporation to form UBS 1998  UBS makes a 793 million franc pretax loss on exposure to hedge fund Long Term Capital Management 2007  UBS says it will close Dillon Read Capital Management an internal hedge fund it set up in 2005 after a 150 million Swiss francs loss It also makes a 42 billion Swiss franc loss in fixed income currencies and commodities business and says it will cut 1500 jobs 2008  UBS investment banking unit loses 50 billion on US subprime mortgages and related bets requiring a government bailout Feb 2009  Agrees to pay 780 million and identify certain US clients to settle criminal fraud charges that it helped rich Americans to evade taxes Six months later Switzerland says it will hand over details of about 4450 bank accounts to US authorities as part of the deal to settle the UBS tax case It effectively ends a separate civil lawsuit by US authorities that sought up to 52000 account names July 2011  UBS names former Bundesbank president Axel Weber as its next chairman The following month it says it will cut 3500 more jobs to save 2 billion Swiss francs in annual costs Sept 2011  Bank stuns markets by unveiling a 23 billion rogue trading loss London trader Kweku Adoboli was charged with fraud and false accounting dating back to 2008 Chief Executive Oswald Gruebel resigns and is replaced by Sergio Ermotti Oct 2012  Ermotti says he will cut 10000 jobs and wind down the fixedincome business as part of a farreaching overhaul to return UBS to its private banking roots Nov 2012  UBSs London rogue trader Adoboli is jailed for seven years for the fraud the biggest in British history Britains financial regulator fines the bank 30 million pounds 487 million Reporting by  David Cutler  London Editorial Reference Unit and  Martin de SaPinto  Editing by Erica Billingham
12/24/2014,U.S. will seek extradition of two former UBS traders, WASHINGTON  Reuters  The United States will seek the extradition of two former senior UBS traders criminally charged as part of a probe into the banks rigging of the Libor interest rate benchmark a top US official said   Were going to seek their extradition and our investigation continues Lanny Breuer assistant attorney general for the criminal division at the US Justice Department told a news conference on Wednesday The criminal complaints are against former traders Tom Hayes and Roger Darin We believe that one of them is in England The other one is in Switzerland Breuer said Mr Hayes obviously was a very very major trader and were going to continue to move forward Reporting by  Douwe Miedema  Editing by Jeffrey Benkoe
12/23/2014,World shares slip as fiscal talks sour, NEW YORK  Reuters  World stocks trimmed gains on Wednesday after reaching a 17month high as talks to avert the US fiscal cliff appeared to stall braking a surge in the euro as it rose on an improved economic outlook for Germany   Wall Street turned lower as a rise in tensions in Washington threatened to unravel significant progress made over the last week in talks to slow the growth of the countrys 16 trillion debt President Barack Obama accused Republicans of digging in their heels due to a personal grudge against him Republican speaker of the House of Representatives John Boehner called Obama irrational Boehner said the House on Thursday would pass legislation that would prevent tax increases on all income below 1 million  something that Obama has threatened to veto Global equity markets and other assets seen as risky rose earlier in the session on expectations the impasse over the US budget will be resolved Oil prices rose on hopes a resolution to the fiscal cliff would spur crude demand There was a riskon tone when we started the day globally All markets were looking to go higher and I think crude has fed off that said Addison Armstrong director of market research at Tradition Energy in Stamford Connecticut The Dow Jones industrial average  DJI  closed down 9899 points or 074 percent at 1325197 The Standard  Poors 500 Index  SPX  fell 1098 points or 076 percent at 143581 The Nasdaq Composite Index  IXIC  slid 1017 points or 033 percent at 304436 Brent crude settled 152 higher at 11036 a barrel as it headed toward its highest close in two weeks US oil gained 158 to settle at 8951 Equity markets in Europe rose as a key business survey in Germany bolstered investor sentiment by suggesting that Germany Europes biggest economy was likely to bounce back quickly from a slowdown The growing German confidence also lifted the euro to a 16month high against the yen and an 812month peak versus the US dollar while Brent oil rose toward 110 a barrel Investors gave little importance to data that showed US homebuilding permits touched their highest level in nearly 412 years in November while groundbreaking activity dropped In Europe top company shares scaled 18month highs on expectations the US fiscal debacle will be averted EU The FTSEurofirst 300 index  FTEU3  rose 041 percent to end at 114213 just off a 19month closing high The better tone evident earlier was supported by the US Federal Reserves efforts to boost the US recovery signs of growing economic momentum in China and talk that Japan is set for a policy shift to lift itself out of recession The latest German Ifo Institute survey of 7000 firms bolstered this sentiment by finding that business confidence had improved for a second straight month in December in part because of better export prospects The brighter outlook pushed MSCIs allcountry world equity index MIWD00000PUS to levels last seen in July 2011 But the index trimmed gains rising 009 percent to 34175 on Wednesday The yen weakened to its lowest point in more than 18 months against the dollar on expectations the Bank of Japan will ease monetary policy at the end of a twoday policy meeting on Thursday The euro rose 005 percent to 13236 to the dollar after hitting 11249 its highest since August 2011 Against the yen it gained 030 percent to 11170 its highest since August 2011 The dollar index DXY fell 005 percent to 79325 after hitting a twomonth low of 79008 The benchmark 10year US Treasury note rose 532 in price to yield 18014 percent Additional reporting by  Richard Hubbard  in London Editing by  Chizu Nomiyama  Dan Grebler Leslie Adler and Andrew Hay
12/22/2014,U.S. criminally charges two former UBS traders in Libor probe, WASHINGTON  Reuters  US prosecutors criminally charged two former senior UBS traders in connection with an investigation into the banks manipulation of the Libor benchmark rate the Justice Department said on Wednesday   A criminal complaint against former traders Tom Hayes and Roger Darin was unsealed in US District Court in New York the government said Both traders were charged with conspiracy while Hayes was also charged with wire fraud and an antitrust violation the government said Also on Wednesday the Swiss bank agreed to pay a 15 billion fine to US UK and Swiss authorities to resolve related allegations Reporting by  David Ingram  and  Aruna Viswanatha  Editing by Jeffrey Benkoe
12/19/2014,Swiss lack appetite for Barclays-style backlash against UBS, ZURICH  Reuters  Unlike the outrage that hit Barclays after the British bank was fined for rigging a benchmark interest rate reaction in Switzerland to UBSs 14 billion franc 153 billion penalty for the same offence has been muted   There appears to be little appetite to attack UBS whose reputation has already been tarnished by a series of damaging mistakes The Swiss government and Swiss National Bank both said they had taken note of the penalty but didnt comment further on Wednesday Even Christian Levrat president of the leftwing Social Democrats SP which is typically critical of banks stopped short of calling for any specific changes at the bank He said he wanted UBS to be more transparent and cooperative in unearthing past scandals This game of catandmouse must stop he told Reuters The seeming nonchalance over UBS is a sharp contrast with the crisis that engulfed Barclays which got a much smaller fine of 450 million in June Barclays had hoped that it would get some credit by going first in what is expected to be a series of banks making settlements related to manipulating the Libor rate Instead the fine triggered a storm of angry newspaper headlines and outrage in parliament and among the British public Barclays chief executive Bob Diamond was forced out of his job less than a week later and Chairman Marcus Agius has also been replaced Lawmakers grilled top officials at the Bank of England and Financial Services Authority and accused them of failing to respond properly to US concerns about possible Libor rigging The contrasting fates of the two banks may suggest a wait and see policy makes more sense according to insiders at Deutsche Bank which is facing months of investigation for its part in the global Libor scandal The one who moved first here has lost said a source at Deutsche Bank which was not involved in settlement negotiations Paul Dembinski a Swiss university professor who heads the Observatoire de la Finance a think tank that studies the ethics of finance said UBS had seen the risk and managed it well This settlement is a way of not opening all the books and not showing everything Its a way of managing risks he said From a bank perspective its a very reasonable amount About 40 employees have left UBS over the scandal a fraction of the 10000 job losses planned as the bank withdraws from fixedincome business People were in the process of adjusting to the 10000 cuts and starting to get more comfortable looking ahead to where we want to be in 2015 so this fine is a distraction a senior UBS employee told Reuters That notwithstanding there is a general feeling were doing the right things and moving in the right direction the employee added Despite the size of UBSs fine it remains unclear if the scandal will cost UBS more than the money it made from Libor manipulation In a memo to staff Chief Executive Sergio Ermotti said the bank was unable to assess the impact on its clients The regulatory investigations continue and we are far from having an understanding of the effect of the actions of multiple institutions on the actual rate fixings which one would need to know before trying to determine whether or how clients were affected he said UBS did not mention the damage to savers and borrowers in its public statement Reporting by Tom Miles and Katharina Bart in Zurich Philipp Halstrick in Frankfurt Huw Jones in London Editing by Erica Billingham
12/18/2014,"Wall Street falls as ""cliff"" talks sour but hopes remain", NEW YORK  Reuters  US stocks sold off late in the day to close at session lows on Wednesday as talks to avert a yearend fiscal crisis turned sour even as investors still expect a deal   The SP 500 slipped after a twoday rally that took the benchmark index to its highest close in two months Defensiveoriented shares led the decliners including health care and consumer staples General Motors  GMN  bucked the overall weakness to surge 66 percent to 2718 after the automaker said it will buy back 200 million of its shares from the US Treasury which plans to sell the rest of its GM stake over the next 15 months President Barack Obama and congressional Republicans are struggling to come up with a deal to avoid early 2013 tax hikes and spending cuts that many economists say could send the US economy into recession House Speaker John Boehner the top Republican in Congress said in a oneminute press conference that his chamber will pass a proposal that Obama had already threatened to veto as it spares many wealthy Americans from tax hikes needed to balance the budget Obama has already agreed to reductions in benefits for senior citizens My guess is theyre close to a deal and right before it looks like the deal is about to blow up either on manufactured or legitimate reasons said Uri Landesman president of hedge fund Platinum Partners in New York He said if the market thought a deal was in real danger the SP 500 would slide below 1400 It stands now near 1435 not far from a twomonth high The CBOE Volatility Index VIX surged 115 percent to 1736 but has remained relatively stable Its 14 50 and 200day averages are all within 11 points Landesman said the VIXs stability indicates the bulls have control of this market still Banks and energy shares  groups that outperform during periods of economic expansion  have led recent gains indicating a shift to focusing on a growing economy as Wall Street looks past the budget talks Defensive sectors led Wednesdays downturn with the SP health care sector index GSPA down 11 percent The Dow Jones industrial average  DJI  dropped 9899 points or 074 percent to 1325197 The SP 500  SPX  lost 1098 points or 076 percent to 143581 The Nasdaq Composite  IXIC  fell 1017 points or 033 percent to 304436 Herbalife Ltd  HLFN  shares tumbled 121 percent to 3734 after William Ackman one of the worlds biggest hedge fund managers said he is shorting the stock of the weight management products company Oracle ORCLO shares helped cap the Nasdaqs loss after the company reported earnings that beat expectations on strong software sales growth Oracle jumped 37 percent to 3409 Knight Capital Group Inc  KCGN  climbed 54 percent to 351 after it agreed to be bought by Getco Holdings in a deal valued at 14 billion The stock which nearly collapsed after a trading error in August remains down about 70 percent so far this year Shares of Chinese display advertising provider Focus Media Holding Ltd FMCNO jumped 67 percent to 2552 after it agreed to be bought by a consortium of private equity funds led by the Carlyle Group  CGO  for about 36 billion Data showed homebuilding permits touched their highest level in nearly 412 years in November The PHLX housing index HGX fell 08 percent but has gained 664 percent this year as the housing market has turned the corner About 69 billion shares changed hands on the New York Stock Exchange the Nasdaq and NYSE MKT slightly above the daily average so far this year of about 645 billion shares Advancing and declining issues were almost even on both the NYSE and the Nasdaq Reporting by Rodrigo Campos Editing by  Jan Paschal 
